Schoolid,School_Name,medium,Latitude,Longitude,shift,low_class,High_class,Z_ID,Zone_Name,D_ID,District_name,SchManagement,SchCategory,typeOfSchool
1001204,Vishwas Nagar-GBSSS,English,28.66154032,77.29514503,Evening,6,12,1001,Zone-01,10,East,Government,Senior Secondary Schools,Co-ed
1001206,PREMALA BAI CHAVAN SCHOOL FOR THE DEAF,English,28.64472769,77.30280743,Morning,Nursery,8,1001,Zone-01,10,East,Aided,Sarvodaya Middle Schools,Girls
1001208,Anand Vihar - SBV,English,28.6525104,77.31634359,Evening,Nursery,12,1001,Zone-01,10,East,Government,Sarvodaya Sr. Secondary Schools,Co-ed
1001216,"SOSE, Surajmal Vihar",English,28.66587096,77.30790799,General,9,12,1001,Zone-01,10,East,Government,School of Specialized Excellence(SOSE),Co-ed
1002001,Mandawali-SBV (Veer Udham Singh) No. 1,English,28.63067955,77.29806439,Evening,Nursery,12,1002,Zone-02,10,East,Government,Sarvodaya Sr. Secondary Schools,Boys
1002002,Patparganj-SBV (Genda Lal Dixit),English,28.6140064,77.29089993,Evening,Nursery,12,1002,Zone-02,10,East,Government,Sarvodaya Sr. Secondary Schools,Boys
1002003,Kalyanvas-SBV (Raj Bihari Bose),English,28.61979034,77.30922361,Evening,Nursery,12,1002,Zone-02,10,East,Government,Sarvodaya Sr. Secondary Schools,Co-ed
1002004,"Shakarpur, No.2-SBV (Ishwar Chand)",Urdu,28.63436138,77.28478859,Evening,Nursery,12,1002,Zone-02,10,East,Government,Sarvodaya Sr. Secondary Schools,Co-ed
1002005,West Vinod Nagar-SBV,Urdu,28.62164984,77.29751809,Evening,Nursery,12,1002,Zone-02,10,East,Government,Sarvodaya Sr. Secondary Schools,Co-ed
1002006,"Mayur Vihar, Phase I, Pkt. II-SBV (Prem Chand)",Urdu,28.60989819,77.30251337,Evening,Nursery,12,1002,Zone-02,10,East,Government,Sarvodaya Sr. Secondary Schools,Girls
1002007,East Vinod Nagar-SBV (Jai Prakash Narayan),Urdu,28.62107819,77.30543587,Evening,Nursery,12,1002,Zone-02,10,East,Government,Sarvodaya Sr. Secondary Schools,Boys
1002008,Kalyanpuri-SBV,Urdu,28.61450553,77.31928826,Evening,Nursery,12,1002,Zone-02,10,East,Government,Sarvodaya Sr. Secondary Schools,Girls
1002010,"Trilokpuri, Block 20-SBV",Urdu,28.60453808,77.30613999,Evening,Nursery,12,1002,Zone-02,10,East,Government,Sarvodaya Sr. Secondary Schools,Girls
1002012,Khichripur-GBSSS,Urdu,28.61803404,77.31468874,Evening,6,12,1002,Zone-02,10,East,Government,Senior Secondary Schools,Girls
1002013,Dallupura-SBV,Urdu,28.60886386,77.32138046,Evening,Nursery,12,1002,Zone-02,10,East,Government,Sarvodaya Sr. Secondary Schools,Girls
1002014,New Kondli-GBSSS,Urdu,28.60406299,77.33311721,Evening,6,12,1002,Zone-02,10,East,Government,Senior Secondary Schools,Girls
1002015,"Mayur Vihar, Phase II, Pkt.B-SBV",Urdu,28.61763887,77.30299167,Evening,Nursery,12,1002,Zone-02,10,East,Government,Sarvodaya Sr. Secondary Schools,Boys
1002016,"Mayur Vihar, Phase I, Pkt.IV-SBV(Shaheed Capt.Hanifuddin)",Urdu,28.60273634,77.29427713,Evening,Nursery,12,1002,Zone-02,10,East,Government,Sarvodaya Sr. Secondary Schools,Girls
