state_name,state_code,program,started,latitude,longitude
DELHI,10,NISHTHA 1.0,Yes,28.6368,77.17008462
DELHI,10,NISHTHA 2.0,Yes,28.6368,77.17008462
DELHI,10,NISHTHA 3.0,Yes,28.6368,77.17008462
