_id,Schoolid,School_Name,medium,Latitude,Longitude,shift,low_class,High_class,Z_ID,Zone_Name,D_ID,District_name,SchManagement,SchCategory,createdAt,updatedAt,__v,typeOfSchool,stream,minority,affiliation
6530f4cdbc3009aaa5bda583,1001145,Sanatan Dharam Sr. Sec. School shahdara,N/A,28.66802135,77.28984343,Morning,Nursery,12,1001,Zone-01,10,East,Aided,Sarvodaya Sr. Secondary Schools,2023-10-19T09:20:13.251Z,2023-10-19T09:20:13.251Z,0,Co-ed,Other Streams,No,Delhi Board
6530f4cdbc3009aaa5bda585,1001146,"Shahadara, Anaj Mandi-Lalita PD Arya Girls Sr. Sec. School",N/A,28.66951817,77.2913632,Morning,6,12,1001,Zone-01,10,East,Aided,Senior Secondary Schools,2023-10-19T09:20:13.254Z,2023-10-19T09:20:13.254Z,0,Girls,Commerce,No,Delhi Board
6530f4cdbc3009aaa5bda587,1001147,Shankar Nagar-Dav No. 2 Sr. Sec. School,N/A,28.66401024,77.27287124,Morning,6,12,1001,Zone-01,10,East,Aided,Senior Secondary Schools,2023-10-19T09:20:13.258Z,2023-10-19T09:20:13.258Z,0,Boys,Science,No,Delhi Board
6530f4cdbc3009aaa5bda589,1001148,Old Seelampur East-Nehru Adarh Sr. Sec. School,N/A,28.66943287,77.27719359,Morning,6,12,1001,Zone-01,10,East,Aided,Senior Secondary Schools,2023-10-19T09:20:13.262Z,2023-10-19T09:20:13.262Z,0,Boys,Vocational,No,Delhi Board
6530f4cdbc3009aaa5bda58b,1001149,Shankar Nagar-R. A. Geeta Sr. Sec. School,N/A,28.66348962,77.27284343,Morning,6,12,1001,Zone-01,10,East,Aided,Senior Secondary Schools,2023-10-19T09:20:13.265Z,2023-10-19T09:20:13.265Z,0,Co-ed,Other Streams,No,Delhi Board
6530f4cdbc3009aaa5bda58d,1001150,Krishan Nagar-Ratan Devi Girls Sr. Sec. School,N/A,28.66159023,77.27955747,Morning,6,12,1001,Zone-01,10,East,Aided,Senior Secondary Schools,2023-10-19T09:20:13.269Z,2023-10-19T09:20:13.269Z,0,Boys,Commerce,No,Delhi Board
6530f4cdbc3009aaa5bda755,1001151,"Shahdara, Teliwara-G(Co-ed)SS",N/A,28.67104097,77.2885332,General,6,10,1001,Zone-01,10,East,Government,Secondary Schools,2023-10-19T09:20:13.792Z,2023-10-19T09:20:13.792Z,0,Boys,Science,No,Delhi Board
6530f4cdbc3009aaa5bda757,1001194,West Azad Nagar-G(co-ed)SS,N/A,28.6632924,77.2780303,General,6,10,1001,Zone-01,10,East,Government,Secondary Schools,2023-10-19T09:20:13.794Z,2023-10-19T09:20:13.794Z,0,Boys,Vocational,No,Delhi Board
6530f4cdbc3009aaa5bda759,1001196,Vishwas Nagar-SKV,N/A,28.66162547,77.2955829,Morning,Nursery,12,1001,Zone-01,10,East,Government,Sarvodaya Sr. Secondary Schools,2023-10-19T09:20:13.795Z,2023-10-19T09:20:13.795Z,0,Boys,Other Streams,No,Delhi Board
6530f4cdbc3009aaa5bda75b,1001204,Vishwas Nagar-GBSSS,N/A,28.66154032,77.29514503,Evening,6,12,1001,Zone-01,10,East,Government,Senior Secondary Schools,2023-10-19T09:20:13.798Z,2023-10-19T09:20:13.798Z,0,Boys,Commerce,No,Delhi Board
6530f4cdbc3009aaa5bda58f,1001206,PREMALA BAI CHAVAN SCHOOL FOR THE DEAF,N/A,28.64472769,77.30280743,Morning,Nursery,8,1001,Zone-01,10,East,Aided,Sarvodaya Middle Schools,2023-10-19T09:20:13.271Z,2023-10-19T09:20:13.271Z,0,Boys,Science,No,Delhi Board
6530f4cdbc3009aaa5bda75d,1001208,Anand Vihar - SBV,N/A,28.6525104,77.31634359,Evening,Nursery,12,1001,Zone-01,10,East,Government,Sarvodaya Sr. Secondary Schools,2023-10-19T09:20:13.799Z,2023-10-19T09:20:13.799Z,0,Boys,Art,No,Delhi Board
6530f4cdbc3009aaa5bda75f,1001216,"SOSE, Surajmal Vihar",N/A,28.66587096,77.30790799,General,9,12,1001,Zone-01,10,East,Government,School of Specialized Excellence(SOSE),2023-10-19T09:20:13.801Z,2023-10-19T09:20:13.801Z,0,Boys,Commerce,No,Delhi Board
6530f4cdbc3009aaa5bda761,1002001,Mandawali-SBV (Veer Udham Singh) No. 1,N/A,28.63067955,77.29806439,Evening,Nursery,12,1002,Zone-02,10,East,Government,Sarvodaya Sr. Secondary Schools,2023-10-19T09:20:13.809Z,2023-10-19T09:20:13.809Z,0,Boys,Science,Yes,Delhi Board
