textbook_id,textbook_name,medium,grade,subject,day_of_created_on,qr_coverage,qr_codes_linked_to_content,total_qr_codes
do_31304487302621593615180,Delhi_ریاضی  کا جادو -١ (by NCERT),Urdu,Class 1,Mathematics,17/06/2020,100,14,14
do_31304487303164723214180,Delhi_ریاضی کا جادو (by NCERT),Urdu,Class 2,Mathematics,17/06/2020,100,16,16
do_31304487303727513614182,Delhi_ریاضی کا جادو (by NCERT),Urdu,Class 3,Mathematics,17/06/2020,100,15,15
do_31304487305675571214853,Delhi_نواءے اردو (by NCERT),Urdu,Class 9,Urdu,17/06/2020,100,24,24
do_31304487305975398415324,Delhi_نواءے اردو (by NCERT),Urdu,Class 10,Urdu,17/06/2020,100,24,24
do_31304487306799513615184,Delhi_گلستان ادب (by NCERT),Urdu,Class 12,Urdu,17/06/2020,100,14,14
do_31304487272908390415148,Delhi_अंतराल भाग-1 (by NCERT),Hindi,Class 11,Hindi,17/06/2020,100,4,4
do_31304487286694707214160,Delhi_अंतराल भाग-दो कक्षा-12- हिंदी ऐच्छिक (by NCERT),Hindi,Class 12,Hindi,17/06/2020,100,5,5
do_31304487437051494418601,Delhi_अभिव्यक्ति और माध्यम (by NCERT),Hindi,Class 11;Class 12,Hindi,17/06/2020,100,17,17
do_31304487266712780815442,Delhi_अभ्यासवान् भव (by NCERT),Sanskrit,Class 9,Sanskrit,17/06/2020,53.8461538461539,13,13
do_31304487285651865618581,Delhi_भारतीय कला का परिचय (by NCERT),Hindi,Class 11,Fine Arts,17/06/2020,100,9,9
do_31304487253874278417212,Delhi_रुचिरा द्वितीयो भागः (by NCERT),Sanskrit,Class 7,Sanskrit,17/06/2020,100,7,7
do_31304487249276108818353,Delhi_रुचिरा प्रथमो भागः (by NCERT),Sanskrit,Class 6,Sanskrit,17/06/2020,100,4,4
do_31304487286210560015294,Delhi_वितान भाग 2 (by NCERT),Hindi,Class 12,Hindi,17/06/2020,100,5,5
do_31304487436340428815186,Delhi_व्याकरणवीथि: (by NCERT),Sanskrit,Class 9;Class 10,Sanskrit,17/06/2020,100,7,7
do_31304487274064281615452,Delhi_शाश्वती-प्रथमो भागः (by NCERT),Sanskrit,Class 11,Sanskrit,17/06/2020,100,13,13
do_31304487300727603215314,Delhi_सृजन भाग -2 (by NCERT),Hindi,Class 12,Creative Writing and Translation,17/06/2020,100,5,5
do_31304487284899020815462,Delhi_सृजन भाग 1 (by NCERT),Hindi,Class 11,Creative Writing and Translation,17/06/2020,100,5,5
do_31304321013919744015835,Democratic Politics I (Class 9),English,Class 9,Political Science,15/06/2020,0,0,0
do_31304327048443494415842,Democratic Politics II (Class 10),English,Class 10,Political Science,15/06/2020,0,0,0
do_31310352061459660811755,Democratic Politics-I (by NCERT),English,Class 9,Political Science,08/09/2020,100,5,5
do_31304327129965363214328,Democratic Politics-II Practice Book (Class 10),English,Class 10,Geography,15/06/2020,0,0,0
do_3132289387703173121673,DL_ Economics Practice Book,English,Class 10,Economics,04/03/2021,0,0,0
do_31322893472961331211199,DL_ Geography Practice Book,English,Class 10,Geography,04/03/2021,0,0,0
do_31322894013401497612099,DL_Democratic Politics-II Practice Book,English,Class 10,Political Science,04/03/2021,0,0,0
do_31322894256159129611694,DL_English-First Flight Practice Book,English,Class 10,English,04/03/2021,0,0,0
do_31322893215903744015021,DL_History Practice Book,English,Class 10,History,04/03/2021,0,0,0
do_31322892031366758411687,DL_Math Practice Book,English,Class 10,Mathematics,04/03/2021,0,0,0
do_31322892507339980811779,DL_Science Practice Book,English,Class 10,Science,04/03/2021,0,0,0
do_31350719153880268815640,DoE Worksheets and Assessment Book 4 for classes Nursery to Class 10 from Feb 2022 onwards,English;Hindi,Class 9;Others;Class 10;Class 1;Class 2;Class 3;Class 4;Class 5;Class 6;Class 7;Class 8,English;Environmental Studies;Hindi;Mathematics;Science;Social Science;General Awareness,01/04/2022,0,0,0
do_3133929519877816321297,DoE Worksheets and Assessments Book 3; Session 2021-22 Class Nur to 10; from 20 September 2021 onwards,English;Hindi,Class 9;Class 10;Class 1;Class 2;Class 3;Class 4;Class 5;Class 6;Class 7;Class 8,English;Environmental Studies;General Awareness;Hindi;Mathematics;Science;Social Science;Social Studies,22/10/2021,0,0,0
do_313254958745272320128934,DoE Worksheets Book 2;  Session 2021-22; Class KG to 10; from 05 April to 18 Sept 2021,Hindi;English,Class 6;Class 9;Class 10,Mathematics;English;Science,10/04/2021,0,0,0
do_31304322940556083215740,Economics Practice Book (Class 10),English,Class 10,Economics,15/06/2020,0,0,0
do_3130837776758210561948,EMC Worksheets (Compilation),Hindi,Class 9;Class 10;Class 11;Class 12,Entrepreneurship Mindset Curriculum ,11/08/2020,0,0,0
do_31304323116070502413520,English-First Flight Practice Book (Class 10),English,Class 10,English,15/06/2020,0,0,0
do_31304323249364992014075,English-Foot Prints Without Feet Practice Book (Class 10),English,Class 10,English,15/06/2020,0,0,0
do_31304323339282841612665,First Flight (Class 10),English,Class 10,English,15/06/2020,0,0,0
do_31304325002968268813139,Foot Prints Without Feet (Class 10),English,Class 10,English,15/06/2020,0,0,0
do_31304325218811904016016,Geography Practice Book (Class 10),English,Class 10,Geography,15/06/2020,0,0,0
do_31304320496528588813100,Health And Physical Education Textbook for Class 9,English,Class 9,Health and Physical Education,15/06/2020,0,0,0
do_31304327731802112014364,Hindi-संचयन २ Practice Book,Hindi,Class 10,Hindi,15/06/2020,0,0,0
do_31304325266989875215767,Hindi-स्पर्श २ Practice Book (Class 10),Hindi,Class 10,Hindi,15/06/2020,0,0,0
do_31304325779182387216598,History Practice Book (Class 10),Hindi,Class 10,History,15/06/2020,0,0,0
do_31304277907904921614423,Honeycomb (Class 7),English,Class 7,English,14/06/2020,0,0,0
do_31304280446873600012686,Honeydew (Class 8),English,Class 8,English,14/06/2020,0,0,0
do_31304270565418598412365,Honeysuckle (Class 6),English,Class 6,English,14/06/2020,0,0,0
do_31304320709398528015542,India And The Contemporary World I (Class 9),English,Class 9,History,15/06/2020,0,0,0
do_31304325833751756814169,India And The Contemporary World II (Class 10),English,Class 10,History,15/06/2020,0,0,0
do_31304320934209945612511,Information and Communication Technology (Class 9),English,Class 9,ICT,15/06/2020,0,0,0
do_3126584581653544961654,Information and Communications in Technology in Education,Hindi,Class 6,Information And Communication Technology,19/12/2018,100,2,2
do_31304280959017779213107,It So Happened (Class 8),English,Class 8,English,14/06/2020,0,0,0
do_31304210137873612811696,Looking Around,English,Class 3,Environmental Studies,13/06/2020,0,0,0
